2016-03-24-5-33-33PM,1458812013997,1003.6584,80.16131,3
2016-03-24-5-33-35PM,1458812015001,1003.68835,79.910286,3
2016-03-24-5-33-36PM,1458812016009,1003.5984,80.66598,3
2016-03-24-5-33-37PM,1458812017019,1003.6284,80.41232,3
2016-03-24-5-33-38PM,1458812018030,1003.6584,80.16131,3
2016-03-24-5-33-39PM,1458812019030,1003.7483,79.40826,3
2016-03-24-5-33-40PM,1458812020040,1003.7183,79.65927,3
2016-03-24-5-33-41PM,1458812021048,1003.6584,80.16131,3
2016-03-24-5-33-42PM,1458812022059,1003.7483,79.40826,3
2016-03-24-5-33-43PM,1458812023070,1003.5984,80.66598,3
2016-03-24-5-33-44PM,1458812024079,1003.7183,79.65927,3
2016-03-24-5-33-45PM,1458812025081,1003.6584,80.16131,3
2016-03-24-5-33-46PM,1458812026127,1003.68835,79.910286,3
2016-03-24-5-33-47PM,1458812027152,1003.6584,80.16131,3
2016-03-24-5-33-48PM,1458812028177,1003.7183,79.65927,3
2016-03-24-5-33-49PM,1458812029199,1003.6284,80.41232,3
2016-03-24-5-33-50PM,1458812030207,1003.6584,80.16131,3
2016-03-24-5-33-51PM,1458812031215,1003.6584,80.16131,3
2016-03-24-5-33-52PM,1458812032251,1003.6284,80.41232,3
2016-03-24-5-33-53PM,1458812033298,1003.5984,80.66598,3
2016-03-24-5-33-54PM,1458812034335,1003.6284,80.41232,3
2016-03-24-5-33-55PM,1458812035347,1003.7183,79.65927,3
2016-03-24-5-33-56PM,1458812036356,1003.5984,80.66598,3
2016-03-24-5-33-57PM,1458812037363,1003.68835,79.910286,3
2016-03-24-5-33-58PM,1458812038372,1003.7183,79.65927,3
2016-03-24-5-33-59PM,1458812039383,1003.6284,80.41232,3
2016-03-24-5-34-00PM,1458812040411,1003.68835,79.910286,3
2016-03-24-5-34-01PM,1458812041459,1003.68835,79.910286,3
2016-03-24-5-34-02PM,1458812042469,1003.68835,79.910286,3
2016-03-24-5-34-03PM,1458812043478,1003.53845,81.168015,3
2016-03-24-5-34-04PM,1458812044487,1003.68835,79.910286,3
2016-03-24-5-34-05PM,1458812045516,1003.53845,81.168015,3
2016-03-24-5-34-06PM,1458812046546,1003.53845,81.168015,3
2016-03-24-5-34-07PM,1458812047570,1003.5984,80.66598,3
2016-03-24-5-34-08PM,1458812048584,1003.6584,80.16131,3
2016-03-24-5-34-09PM,1458812049584,1003.6284,80.41232,3
2016-03-24-5-34-10PM,1458812050598,1003.7483,79.40826,3
